agent0
actions UP DOWN LEFT RIGHT PRESS NOTHING
02060100 3939.234030453852 4157.843733045673 1610.7349842114586 4130.511160366121 3228.9910060124043 3257.6699379811316
01060100 3988.918374418387 4100.85116179954 1278.4947193720254 3956.2779832176907 4050.0744071087165 4021.180832379185
03011000 840.0926044580776 760.31982062195 768.3958168443937 1321.297590971326 922.0340228666136 992.6763113132215
03021000 860.6286622976058 1008.3879656715781 769.5538667741317 1642.5785455402456 1244.0671909103658 1104.109892784453
02021000 872.5431717947476 1265.9440888280524 692.3838257799853 1626.1450359098285 1070.81640813842 1241.541189452922
02031000 1290.856934310384 1646.168988169052 1102.3653147662635 2145.5383785602653 1591.4197695391658 1687.6457695603158
03031000 1573.8633493051045 1332.9960722020708 1342.0614303970005 2415.4420689291137 1486.9571277339041 1705.7216932743966
04011000 757.6385478024171 728.1802844452183 738.823180062757 890.009057316883 754.9751630237442 811.8993907007423
02011000 607.4094868726124 894.9380635220135 772.5839249711248 1120.596266299568 747.3481252315479 698.7864697905267
01011000 538.1433811047707 839.0292258697591 637.7861522077153 897.0548606780178 632.23860416892 609.7648877563837
04021000 1209.4498754810588 1024.1197534891112 767.849051368911 1334.1513020346652 888.2855025663985 933.8201722046693
04031000 1886.4378907641621 1278.802249035813 1000.3784876924219 1635.8170566162257 1458.8538788230567 1393.5447697245445
01031000 1124.9165204777446 1570.1363817708902 795.582571126717 1502.007061016669 1165.0277576685617 1346.7307565359376
01041000 1657.3892610099979 2074.863055429526 1079.9892758628503 1820.6636027840811 1798.8740119654099 1653.0108781744802
02041000 1521.941734391026 2568.765408192976 1798.8687138051037 2807.6713099250624 2106.408097142682 2152.9149852599107
03041000 1887.5216151287375 1626.043011805681 1845.927334184853 3255.73969388751 2560.4002768743417 2643.4540138414022
01051000 2077.2871127549943 2699.4400284828057 1600.5794387988226 2522.8262816513516 1840.6617749204688 2065.6515743919967
02051000 1983.6649165993404 3247.9612527079094 1866.9069075291302 3385.227540943706 2787.394963700012 2725.63983679497
03051000 2700.5840482165004 2847.2018642621138 1879.6132576653395 3777.2065853144554 2999.4395635582837 2888.056364301897
01061000 2707.5118448766552 3169.675990921106 2323.7511407034153 3122.1695786365053 2635.355561688064 2669.488098820866
02061000 2603.9018934827345 3752.045778139628 2605.955353042463 3742.978340069801 3335.103296940428 3370.028036964756
01071000 2894.916979316403 3540.190772067308 2655.342614998228 3837.550582401881 3320.687224314836 3164.0927398128547
01081000 3961.2140128440215 4257.684953230712 3456.102959437816 0 3827.3769798977396 3808.6539158433256
02081000 3724.492587565592 4753.088910985395 3662.133929852159 4097.8585787001875 4054.4647445927503 4101.831532068985
03081000 4092.9437417851154 4092.7477596189474 4341.896179921136 4839.574205637432 5236.796661342739 4502.068227133121
03081100 6002.604678741492 5220.84152393948 5110.594804210329 5617.216164625316 0 0
02081100 5110.693898806951 5318.865073121552 4409.171421715471 5152.0287987531865 5699.637834987794 6479.816346996338
01081100 5077.524496898179 5722.25300778417 4608.9376392728045 4564.930804129382 5242.894497153692 5148.948810366377
01071100 4268.314186403541 4344.041774091229 3754.6610385363997 5127.554213373971 4531.653642668811 4505.465519872411
01061100 3769.3190890117226 3898.544206629139 3355.9240507678187 4552.863361954732 3908.584384395256 4099.202142145134
01051100 3776.209385147615 3096.3122281376486 2755.5279933106976 4145.330584351354 3842.1091549561897 3301.7069490356866
02051100 3625.964545698097 98.90096075223141 2337.501777406936 3757.365195146969 3474.5539384006443 3317.2025479215845
02041100 2862.396854646736 2879.3418754861127 1961.3260533116184 198.9372327534 2462.027613832817 2439.267844499013
01041100 2941.4730254126557 2416.9113849645746 2254.257904710308 3329.9127937058356 2828.008928157173 2887.1878198227355
03051100 3469.482637755689 3093.708072769259 2811.349190427419 4336.160233207425 3628.246588068006 3301.957725481012
03041100 2519.274198331361 2866.4080170287566 2177.549036124039 3415.3750645976793 2884.3706097498034 2775.113872325382
04041100 2704.191689758298 2536.720989513442 2166.020645149621 3390.9463874092444 2713.3223551006013 2737.200084225323
04031100 2380.931404108959 2035.228530521819 99.05147762942782 2619.417851502676 2193.6593714710584 2264.1068839415716
04051100 3446.3430655509064 3087.175004009311 98.89990936985403 3928.653699572774 3477.9396843059176 3335.951941400227
03061100 3812.04312756659 3787.1004886605033 3721.980770805546 4882.531773264349 4317.969661839166 4167.021512342303
04061100 4528.025375961913 3861.93969135877 3227.326921228436 4346.683365024498 3750.054611652263 3899.143600841305
02061100 4185.51276274759 4003.344038078767 3182.4993220812203 4281.587094505976 3734.904127752945 3733.7072900995627
03071100 4357.208105041191 4092.8511042652776 4038.54564145863 5511.375830334063 4762.680942116926 4816.284985672972
04081100 5559.713435264433 4834.087499892139 4347.31160324889 4675.366384916866 4811.455108427159 5111.081992708881
