agent0
actions UP DOWN LEFT RIGHT PRESS NOTHING
070609030000 8223.166001305062 -3.7195742029167156 -3.710386921660732 381.41709132456657 -3.737392046250828 67.63025044324515
070510030000 -2.8184569990635304 27.447423632956262 -2.927972028143634 -2.8921606699899676 -2.890738874469861 -2.875624351813728
070509030000 -2.8438764218698256 -2.906001945482323 -2.8422364354831933 -2.9513044040560503 -2.9214785593307284 0.02317524876120247
070509040000 -2.672427792292084 -2.6778928735446383 -2.6625337009372316 -2.679078288220685 -2.6532343127215365 -2.6850685989739667
060509040000 -2.457852360285963 -2.866418532097109 -2.388222591785849 -2.380828572663561 -2.510175364206741 -2.398684008815692
050509040000 -2.0476905698696437 -2.070523501535352 -2.1189952911568923 -2.1262356104330804 -2.070421638590072 -2.0958467692603135
050509050000 -1.9789215734310017 -1.906447119361422 -1.8491129543915648 -1.8776423247379135 -1.96115460837765 -1.865767215057734
050409050000 -1.803367349461302 -1.8573807562500957 -1.862373589774618 -1.776985684107658 -1.9104927511933307 -1.7985261234412242
050310050000 -1.167734516454662 -1.6860559570722287 -1.631912465323521 -1.5750315269974222 -1.517068104605639 -1.6376821744505767
060311050000 -1.4280075243828825 -1.4972810926909543 -0.44096447447046727 9.456103901073718 -0.46859524875650094 -1.786476994498354
060310050000 -1.7974541933495072 -1.7979334819985422 -1.7819976491596705 3.3786396180190166 -0.8077296964058955 -1.9400650602033933
060410050000 -1.986608317675007 1.4116234415159334 -1.4960716685853586 130.2218005193659 -1.8316509810077213 -1.6933998638539633
060411050000 1148.6624988803592 -1.5064590138068956 -1.6356964192578327 -1.6920350891984688 -1.7350468154981067 -1.2701691225139238
060312050000 -1.3679890755991564 -1.6866581216199465 -1.6993174001197162 -1.632621903083393 -1.6088449740843391 -1.4756587773328687
060312040000 -1.8106042152357726 -1.8419421418375719 -1.7351877833986198 -1.8840093066288301 -2.0907020887021224 -1.8785550423741018
060412040000 -1.8393309391714294 -1.9841994199995872 -2.0450148042987966 -1.3725287175633152 -1.9964477120670259 -1.7560159313378487
070412050000 -1.229547529906759 -1.7090030363526378 -1.6919216506664998 34.29803218279364 -1.769073679364614 -1.6492790183098123
070311050000 -1.8810761595940648 -1.9900193838797808 -1.8274085330843106 -1.847966068968425 -1.9851447399712887 -1.8109957612950196
060310040000 -1.7599103556802225 -1.9648477178832133 -1.2137034095472576 -1.7481301697727618 -1.8923059195443734 -1.844332698120793
060309040000 -1.9440794737045628 -1.9298913787094005 -1.932848705501084 -1.9025893116399772 -1.8229819371503497 -2.016273263622647
060409050000 3.7290467496117046 -1.7099364173152645 -1.7913858121067971 -1.7864541681741222 -1.7457791089111145 -1.6690451252625638
060309050000 -1.7688912757883863 -1.8232063330253334 -1.8935301609383974 -1.7031152177994011 -1.7241794643039752 -1.85269448756005
050310060000 -1.7977798986887723 -1.5428019945093026 -1.6397621761738363 3373.303362571169 -1.4240545578305042 -1.5830692428368307
050410060000 -1.8292056280714921 -1.6278022761093347 -1.549278260601302 -1.60030318753242 3.6218025234988667 1147.5300811697375
040410060000 -1.8238517171773203 -0.7014991141691477 -1.7868782934513912 -2.0023490566882813 -1.8144808545066597 -1.7805062533210738
050409060000 -1.8220157863438213 -1.7002627441229141 -1.8284997354403296 -1.70601031939888 -1.7310474389507724 -1.819986920374365
050411060000 90.07776398213363 0.3630364189449433 68.4134238644498 276.5522306803696 13506.455516609623 1104.2877349852474
050311050000 -1.78878036394527 -1.6459072094227833 -1.6951841448163596 1116.3729327648534 -1.6642813056693775 -1.6397788497067134
040311060000 -1.683645609203527 4.455497694015259 -1.5271992915917068 -1.4504882778900405 -1.610433885252385 -0.053737816861229915
050311060000 -1.5628361532166308 -1.5450762018786184 -1.6223719046771057 1131.00475582841 -1.644507404388086 -1.4401522105237317
040311060100 -1.453041458520329 6.978801145063569 -1.4976240135801557 -1.6485221323117119 -1.4643959289663904 -1.3545661481588955
040411060100 -1.5784183970960892 2188.4615039396913 -1.561814901018797 -1.3583993169037998 -1.4608093342458224 -1.3676660595905255
040511050100 -1.2623981165222355 -0.0017551988289736808 -1.5065503729268166 -1.637038761022736 -1.2473296697502496 -1.412822803534039
040511040100 -1.0993798671126405 -1.2047663747781079 -1.2758139490395757 -1.0857489033497036 -1.3118603053142894 -1.223917246692377
040412040100 -1.3651829447873876 -0.8978413352257931 -1.117944583341759 -0.9846467280936467 14.364392394063325 -1.2316357396000837
040411040100 -1.5601479352754206 -0.9511101586831449 -0.37988498694890893 -1.380826103272286 -1.0269468155175427 -0.6437668413166562
040411050100 -1.2342181608394505 1365.8640842456807 -0.07678728516860367 -1.4813398011377017 -1.352838964855646 -1.1960776049149664
050412050100 -1.3418486734727484 -1.0984307366436061 2218.180819783982 -1.311758166783141 0.9215458830027151 0.46477801144897557
040412050100 154.92926802599416 0.11008264119498445 -1.113159968976013 -1.2824783677437595 -1.3955151207827434 -1.1484204807383933
060412060100 1214.2863373613889 -1.3228421613538328 43.15192121665077 -1.468514529133236 2.3123613710916633 1.8534041906421923
070412050100 -0.1901502856601962 -1.0526705806941892 -1.2342814471746317 -1.1090769645010738 -1.2900574447552635 -1.3807572230029959
070411050100 -1.4694020303930477 -1.3350295721708005 -1.4608119409773503 -1.6009034591300955 -1.3770782028369302 -1.5514216249761241
070411060100 3.735491854114378 -1.218502351716198 -1.4285918548419456 -1.4426133627022029 -1.5447493931802232 -1.696001591188117
070510060100 -1.355795059627625 -1.4881419493144685 -1.4568254981567719 -1.5190279448347739 -1.6514739345852423 -1.492663720644668
070510050100 -1.3778110022670864 -1.4183515936251 -1.4465468321224875 -1.3975297367774577 -1.6027086582953889 -1.6338994654372547
070409060100 -1.3559745559734164 -1.3626762468927156 -1.4342613005812268 -1.3891796375210976 -1.6322501350578387 -1.4948708268902415
070509060100 -1.4094007985882056 -1.5363658715595836 -1.5251857913860423 -1.598983931391163 -1.461162463931628 -1.4942518242642107
070410060100 -1.5965979386459566 -1.5939997791342995 -1.5163414833672773 -1.6768074583169907 -1.6070877012504368 -1.5519874791594912
070410050100 -1.4909804813521383 -1.3824681862985786 2.454711154165165 -1.339857383188483 -1.536639560439621 -1.4280356629191397
060410060100 -1.0601500720474055 -1.1783941282038664 -1.3964591198771643 -1.1851619436240088 -1.577014919382491 -1.621615359254479
060309060100 -1.4767606553716153 -1.2479478034212201 -1.1722389077433817 -1.2053854819574217 -1.5884387530781061 -1.39532439167444
060310060100 -1.288715277629802 -1.408302135613172 -1.1663183809962236 -1.3799604887870593 -1.254082012608509 18.807669710573087
060411060100 31.094748659119656 -1.6564669659571583 -1.5333766187155908 -1.3407166717198788 -1.4359800971679946 0.402110311033822
060311060100 182.2121502836053 0.20159058963522836 18.14835602880388 1.7666868955901118 13.007020901962088 -1.4534202919745824
050311060100 -1.1609176347002546 -0.9887882903566209 1075.0849759781204 -1.2107856642030264 -1.7670994989842828 39.82458440406467
050311061100 4.548803437403825 -1.5884576212347319 4.549996508259834 -1.1248607901377954 -1.0996361853369554 -1.7009501661852013
040310061100 -1.0002324380170367 -1.8109987294932424 3.5114405112226046 -0.7106384458641748 7.409486334662972 1.9505331628861113
040309061100 -0.47037543460821174 -1.7146820016860709 -1.2909595087524068 -0.6028188617795727 -1.0825403591226306 -1.2647472694829573
050309061100 -0.6748883968512904 -1.6895796994911922 -1.7185526355146332 -1.3850491085883867 -1.7288120764940709 -1.752221287418617
050310061100 3.2366621345305755 -1.5056897132492382 1.2114373607633655 22.542592571062027 -0.33103787268810714 -1.3507089013040683
040310051100 18.14284281267127 -0.9687191316659277 -0.5424402856434427 8.880697438797677 -0.3707519176264896 17.977575062376374
040309051100 0.059544215323625194 -1.1625691722652587 -1.0393429732527062 -0.7567940137759954 -0.06448740164264866 2.4749027022925234
060309061100 -1.6276173389081565 -1.965655499047579 -0.7723798035380437 -1.5251655440638645 -1.2652992287794032 -1.065718377255361
070309061100 -1.3458014238983211 -1.9294920507172209 -1.7987135758701018 -1.7187962769939666 -1.9489210410395383 -1.8707020905435199
070409061100 -1.2256998908788412 -1.802128460539479 -1.726933863952398 -1.680929246122789 -1.8861506818662332 -1.7391635791341797
070510061100 -1.7004267710700156 -1.5023240080371152 -1.7127722356109767 -1.285987590127448 -1.1226409431710722 -1.4350826904648288
070410061100 -1.6852642839554066 -1.5946804064690985 -1.7028935235084137 -1.8021647814603183 -1.8240513820801652 -1.614459910919806
060410051100 0.11793570444160206 -1.3580360730749879 -1.5322699853016866 -1.322622275140456 -1.6432970809669756 -1.6426486068850823
060410061100 -1.5702064473035329 -1.3425900267397906 -1.4991554564779148 -1.7283658129401107 -0.971026304392113 -1.5951285124566668
060510061100 -1.5921731087437556 -1.5950404584609508 -1.3576083410949116 -1.5416987760296834 -1.3623229310145857 -1.592589258493238
060310061100 -1.4856889547866863 -1.3170306288830695 -1.357647208231267 -1.5209483383236206 -1.700490463228413 -1.4772607807654095
060310051100 -0.8010107496970705 -1.0639789438555816 -1.2696287092856813 -1.547206493474541 -1.6548775091985772 -1.488518308204768
060310041100 -1.514203379174079 -1.5565207261439926 -1.5243049311688217 -1.2378272813753854 -1.8123211785728905 -1.3381056027051235
060309041100 -1.153375894753209 -1.7893282540043194 -1.4601195464304975 -1.4789960359100294 -1.719365041969323 -1.6337632424088064
060409041100 -0.9296841109021206 -1.7135948431797607 -1.5580215258207988 -1.3801811541511333 -1.4600082057706252 -1.3612903602869326
060410041100 -1.1743524280972681 -1.4254452684840706 -1.664069951291446 -1.6162043488032156 -1.2801364843519152 -1.6504788544939553
050410051100 117.83595989609918 -1.4451180437368958 1.5787956558239244 -1.3920412489996494 67.66701769836344 -1.2713647147184008
050509051100 -0.8649148282327008 -1.4330434116584598 13.741119795913196 -1.2756832050481888 -0.39825048468379526 -1.5648902705627634
050509041100 -0.6921515626748076 -1.6063778764824013 -1.638329790385943 -1.2510416384915477 -0.8740089176530709 -1.2433108664468273
050409041100 -0.9995432240925493 -1.0307125415429872 -1.0220204315517294 -1.006347142342028 -1.2129680084796697 0.013806025271613231
040409031100 -0.6431241676399101 -1.516981985153132 -0.8668837099989797 -1.312637009387609 0 -0.5699184211362314
030409031100 0.747729179857638 -0.9618479575523055 -0.5967301931461277 0 -0.5558414669708757 -0.7714866284461576
030410031100 -0.031153226715110283 -1.2523846191045473 2.4534558154052144 0.15323656768274765 2.10436998492553 0.10645312112379146
040411031100 2.1741425181688627 -1.4755146226234575 -0.9980033218889841 -0.7510236856450513 -0.2386637868167923 -0.28246804071517007
040311031100 -0.8064814227171437 -1.2576010499798669 0 -0.343041275280334 -1.6153147566607482 -0.9994360791266039
040311041100 -0.7148394599865788 -0.24913397724747388 3.3913744485418924 14.175619106353079 56.872236986478924 16.900559587643766
040411041100 21.389649568976473 4.75498270434603 8.565497276984217 40.693954670145615 114.39943093661074 1.0556581239809255
030412041100 133.29753445634302 23.943125725955102 4.556249841982268 320.65859008326004 29.0508309846212 39.89584696185828
030412031100 1.7570874718982457 -0.15224522140722124 2.3887154748615935 24.34669433538432 10.942641920051972 7.019494630756805
020412031100 31.385603597171617 0 0 12.385329556212943 -0.8213903654923393 0
020511031100 0 48.16111059135094 8.280822605685895 0 14.47718313781511 0
020512031100 0 0 0 6.305177102440686 0 0
020612031100 0 5.941364123038643 0 9.15238514739584 0 0
020712031100 6.515619215962122 9.8328016168962 2.7126413920304002 0 14.051133846164452 1.0967308786362855
010711031100 0 24.056499824730214 33.95554996678768 -0.4399108841066522 0 6.043226987475105
020711041100 0 -0.9999993351268816 50.16417731275618 0 0 0
020711051100 -0.9999999990322251 0 0 0 0 0
010711051100 0 0 0 -0.9999999794533233 0 0
010812051100 0 -0.7126436915793748 0 -0.814697981114816 -0.9880274848174379 0
020813051100 0 0.05763414477059403 0.6929860495311388 -0.6004933225353617 0 0
020812051100 -0.717570463519 0 0.287010200445215 0 0 2.0509960189811127
020713051100 0 0 0 -0.6611377780590606 -0.999823035654572 0
020712051100 0 0 0 0 1.693678656209625 1.8422566615379667
020712061100 -0.9903022627021246 0.8294718434949477 0 0 -0.992144832788721 -0.9892247363356941
010712061100 -0.9999500200419471 -0.9171029709843762 0 0 0 0
020711061100 0 2.630808424485512 9.796551851469317 0 0 0
020710061100 0 0 0 0 0 4.154899269384404
020611061100 0 35.16924069740888 4.941684471993993 0 0 11.637229511417981
020511061100 0 53.87176413447385 0 14.621075307478115 0 0
020611051100 64.91708405112739 0 0 0 0 0
010611041100 86.60771204909187 0 0 12.192709536961875 0 0
010812031100 0 0 19.954281540627957 10.349242030888636 0 0
010712021100 31.673336581110593 48.49741809777716 35.250664153436844 0 29.94733741942803 0
020712021100 29.569610501888985 68.08990946505685 114.70146757185077 0 12.789062902603199 56.78105889677788
010612021100 22.023289276313186 107.82088607029029 0 26.975425665033413 0 0
010712031100 12.981202819147935 72.325837550035 0 3.275527926488374 35.95444156648114 0
020712041100 0 0 0 2.281780860510565 0 0
020812041100 -0.43336286265676444 0 2.9269620127645433 0.31488195595625157 2.142951874781649 0
020612021100 143.99923512309817 0 0 0 5.505884382178939 0
010612031100 34.36228669166216 0 309.36140901710075 0 58.36669483955292 0
010512041100 0 133.16078420432083 594.5525465767365 0 0 0
010412041100 0 0 0 0 1067.2138873479369 1160.6934480746093
010412051110 1724.4572132847015 8.490146787324429 58.55722299868232 405.8050347055597 526.5094921822897 976.701163081929
010411051110 343.412980400577 40.65823880986305 29.93329821214608 229.2939806241298 305.1034769683043 68.89945563562742
020412051110 729.4122149299445 0 312.3540491221392 0 0 62.2267349820697
010412061110 498.0088232185439 51.885122719754705 111.65350204692035 113.26821203276333 43.01978932264451 495.6791069769273
010512051110 29.643884247188005 0 724.8240525243081 9.005731684172758 859.1036854226554 307.26326760989116
010512041110 0 22.036534585615808 0 15.1361160282869 374.34806285967056 253.66974675040473
020512031110 17.297753904350373 0 0 -0.9774716004550608 0 2.9143511010554963
010512031110 103.85856736880669 2.116832728771975 0 0 21.176744987527954 76.11405852660809
020511031110 6.403546891496745 1.808062820944751 10.383259897259627 -0.1575444443416177 1.9857470016596488 -0.17394241102988567
020411041110 49.52570557005822 3.9244047177760795 1.6667608449474591 3.415650088160991 6.934076433133156 31.766571873002924
030411031110 10.010069236958213 10.238310250818165 0 0 1.9404033239092997 1.766834916619412
030412031110 0 97.38291508655303 24.037192147814174 0 0 0
040412031110 183.17793868181414 0 68.21141872563152 -0.9835767967317393 0 0
040312041110 0 151.0889362882596 3.391392806584676 11.890795728073833 14.726586255330584 -0.6676912941940334
050311041110 0 10.367700089937102 0 0 0 0
060311041110 0 -0.6125795110000001 4.594739290417525 -0.18328593656882317 13.127147656502 0.06296644023828357
060312041110 50.80520353715735 0 13.086041669238195 12.074572786373828 0 6.451827714221132
060412041110 134.82757813520107 0 28.618585502211886 0 0 0
050412051110 5.996503303514864 0 169.40724580818986 21.08787399689784 0 0
050312051110 218.23867446099598 9.63739328825577 51.79293987860975 0 40.87772548592621 122.36203235917125
040313051110 148.23044829998813 52.5033888347443 224.67760556504695 58.945719463135696 2.9337170453342423 0
040314051110 0 0 237.04572461823255 31.89347744861594 111.92845519650488 249.73517711957476
040315051110 0 0 0 0 208.24832235903892 205.54470283843818
