agent0
actions UP DOWN LEFT RIGHT PRESS NOTHING
0103100 31042.973917866828 31286.53697228795 30964.48528127435 31178.958599978032 31010.57712874299 30987.484906272963
0203100 31085.328449492255 31347.233725049136 31177.130384337874 31628.11994330178 31413.172039195208 31413.13145858017
0202100 30870.668131306655 31156.194352855186 30911.741246053756 31525.19668388809 31181.55170300302 31049.89411890123
0102100 31030.911148465337 31239.341535461976 30673.168614362443 31024.180911835017 31049.725389178697 31023.932042295284
0101100 30625.868535362515 30938.469715879903 30606.791538264417 30927.331431966133 30783.237426856016 30677.400026303785
0201100 30518.590021717562 30891.232971711877 30950.74916659166 31231.907267263472 30880.144685751176 31028.18124920102
0810100 30522.18647066719 30257.69752215634 30709.761559359613 30474.916529156206 30335.637155100605 30410.45502047771
0910100 30414.341980239857 29895.170954022702 30367.766900970408 30130.488090367744 30292.43904626642 30276.510831610954
0909100 30570.277982824122 30014.072864380527 30441.209853208522 30158.95282953762 30413.1671045174 30425.232451207572
0710100 30628.245586046367 30435.290907450686 30824.045589848938 30583.276275882956 30564.172289795988 30598.236566704196
1010100 30218.500500675604 29771.259599002507 30194.758534000957 29935.277653992936 30025.15508523432 29960.578401571187
1009100 30385.675687762126 29839.899459067074 29979.59216726332 29964.923072588084 30146.598089575127 30235.874497668865
1008100 29791.221385371013 29655.977717980644 29742.27646443842 30191.556629116534 29863.701180723925 29942.64749695573
1108100 29982.990888700304 29632.88757530177 29351.44227878223 29943.48863137692 29702.500091208425 29552.36107958848
1007100 29548.826529355352 29265.727792881287 29595.5320326712 29958.266221979906 29518.358761707063 29587.392664829356
1107100 29562.573253027997 29137.408961660152 29186.28046764093 29724.166650683488 29343.848733046798 29459.222148742207
1109100 30166.287557309763 29661.921864480108 29632.26070034531 29729.02810631683 29908.514652380338 29910.03081371975
1110100 29945.79105117801 29688.074638202943 29903.17449348155 29755.705627732306 29720.104546009312 29672.203722606195
0108000 29714.248063677376 29973.352141709038 29632.09188016614 29516.54485444294 29729.051738448175 29687.561240382194
0107000 29629.86840885753 29909.41962124218 29844.656802835565 29809.66588788357 29735.36664909484 29583.757037644456
