<(3, 0, 1), (9, 0, 10), , [0, 0], (Left, Right)>
<(2, 0, 1), (9, 0, 10), , [0, 0], (Left, Down)>
<(2, 0, 1), (9, 0, 10), , [0, 0], (Left, Down)>
<(2, 0, 1), (9, 0, 10), , [0, 0], (Left, Down)>
<(2, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(2, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(2, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(2, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(2, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(2, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(2, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(2, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(1, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(1, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(1, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(1, 0, 1), (9, 0, 9), , [0, 0], (Left, Down)>
<(1, 0, 1), (9, 0, 8), , [0, 0], (Left, Down)>
<(1, 0, 1), (9, 0, 8), , [0, 0], (Left, Left)>
<(1, 0, 1), (9, 0, 8), , [0, 0], (Up, Left)>
<(1, 0, 1), (9, 0, 8), , [0, 0], (Up, Left)>
<(1, 0, 1), (9, 0, 8), , [0, 0], (Up, Left)>
<(1, 0, 1), (9, 0, 8), , [0, 0], (Up, Left)>
<(1, 0, 1), (9, 0, 8), , [0, 0], (Up, Left)>
<(1, 0, 1), (9, 0, 8), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 8), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 8), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 2), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (9, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (8, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (8, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (8, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (8, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (8, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 3), (8, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 4), (8, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 4), (8, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 4), (8, 0, 7), , [0, 0], (Up, Left)>
<(1, 0, 4), (8, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (7, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (7, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (7, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (7, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (7, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (7, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (7, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (7, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (7, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (6, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (6, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (6, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (6, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (6, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (6, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (6, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (6, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (6, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (5, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (4, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (4, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (4, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (4, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (4, 0, 7), , [0, 0], (Nothing, Left)>
<(1, 0, 4), (4, 0, 7), , [0, 0], (Press, Left)>
agent0 pressed button1
<(1, 0, 4), (4, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (4, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (4, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (4, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (4, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (3, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (3, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (3, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (3, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (3, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (3, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (3, 0, 7), , [1, 0], (Nothing, Left)>
<(1, 0, 4), (3, 0, 7), , [1, 0], (Nothing, Left)>
