<(2, 0, 3), (8, 0, 10), , [0, 0], (Up, Right)>
<(2, 0, 3), (8, 0, 10), , [0, 0], (Up, Nothing)>
<(2, 0, 3), (8, 0, 10), , [0, 0], (Up, Nothing)>
<(2, 0, 3), (8, 0, 10), , [0, 0], (Up, Nothing)>
<(2, 0, 3), (8, 0, 10), , [0, 0], (Up, Nothing)>
<(2, 0, 3), (8, 0, 10), , [0, 0], (Up, Nothing)>
<(2, 0, 4), (8, 0, 10), , [0, 0], (Up, Nothing)>
<(2, 0, 4), (8, 0, 10), , [0, 0], (Up, Right)>
<(2, 0, 4), (8, 0, 10), , [0, 0], (Left, Right)>
<(2, 0, 4), (8, 0, 10), , [0, 0], (Left, Right)>
<(2, 0, 4), (8, 0, 10), , [0, 0], (Left, Right)>
<(2, 0, 4), (9, 0, 10), , [0, 0], (Left, Nothing)>
<(2, 0, 4), (9, 0, 10), , [0, 0], (Left, Nothing)>
<(2, 0, 4), (9, 0, 10), , [0, 0], (Left, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Left, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Left, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Left, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Left, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Left, Right)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Right)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Right)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Right)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Right)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Right)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [0, 0], (Press, Nothing)>
agent0 pressed button1
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Nothing)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Down)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Down)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Down)>
<(1, 0, 4), (9, 0, 10), , [1, 0], (Nothing, Nothing)>
